"cod","id","ano","econo_bov","AtvTotal","AtvCirc","PasCirc","PatLiq","CxOper","RecLiq","VrMerc","LAIR","LucroLiquido","LucroBruto","LiqBolsa"
"ADHM3","2172","2015","Consumo não cíclico",6681,570,34931,-35587,-26,0,9763,-12533,-14799,0,0.00434
"ADHM3","2172","2016","Consumo não cíclico",2750,957,3278,-4232,-32802,0,23898,-5448,-1817,0,0.00869
"ADHM3","2172","2017","Consumo não cíclico",2409,357,7931,-9328,-180,18,15428,-5411,-5411,18,0.00273
"AELP3","1931","2015","Utilidade pública",13872026,4609746,4508669,1459965,-316155,13667413,538045,112769,-15532,471607,0.00028
"AELP3","1931","2016","Utilidade pública",50040,28108,11979,16216,1702442,0,1236744,535,226577,-1278,0.00022
"AELP3","1931","2017","Utilidade pública",34273,11157,12008,-759,0,0,470674,181,130,-765,8e-05
"BRGE6","470","2015","Financeiro e outros",3034511,1720799,1155473,999692,126222,27701,336882,118269,64225,-71286,0
"BRGE6","470","2016","Financeiro e outros",3247532,1855664,1282724,1044205,123703,30556,212774,122897,61175,-58695,1e-05
"BRGE6","470","2017","Financeiro e outros",3141175,1880712,1293229,1090754,136395,25294,248995,108806,51187,-65916,0
"RPAD5","995","2015","Financeiro e outros",857499,9396,5830,851427,-2423,189,209630,51585,51537,162,7e-05
"RPAD5","995","2016","Financeiro e outros",889310,6243,6114,882902,-2489,239,341428,50735,50783,227,0.00027
"RPAD5","995","2017","Financeiro e outros",925349,22302,6631,918365,-2595,308,249601,40621,43536,293,6e-05
"ALSC3","2130","2015","Financeiro e outros",4115208,297078,320420,1819779,306164,494799,1762757,184162,131971,369745,0.12896
"ALSC3","2130","2016","Financeiro e outros",4896895,921565,557181,2404431,234013,487551,2919162,4177,-17766,364143,0.13409
"ALSC3","2130","2017","Financeiro e outros",4793893,713202,254062,2465415,390669,507691,3656124,125022,94539,377152,0.16624
"ALPA4","1045","2015","Consumo cíclico",3763470,2208631,1309519,1839529,407319,4126254,3880414,306000,272314,1759426,0.11066
"ALPA4","1045","2016","Consumo cíclico",3782052,2262005,994530,1976023,340971,4054404,4362152,385281,361567,1800284,0.12783
"ALPA4","1045","2017","Consumo cíclico",3853454,2439913,1121505,2186390,303003,3721863,7981233,305795,362289,1639602,0.16364
"ALUP11","2149","2015","Utilidade pública",10011663,2320219,1927256,2510077,1263031,1493559,2739153,649522,209169,1153621,0.06983
"ALUP11","2149","2016","Utilidade pública",10230001,2577166,1777465,2899182,1135442,1553811,5365648,811193,310812,1213610,0.11389
"ALUP11","2149","2017","Utilidade pública",11463372,3597227,1705261,3883930,1105317,1538191,6273239,789721,330885,1131110,0.20849
"ABEV3","2326","2015","Consumo não cíclico",90176234,28314489,30141913,48331883,23580946,46720141,279978928,16513389,12423771,30658770,309636
"ABEV3","2326","2016","Consumo não cíclico",83841418,23886851,28773650,44825048,12344513,45602561,257498089,13398370,12546610,28924602,332545
"ABEV3","2326","2017","Consumo não cíclico",86851989,24718073,28688476,46008814,17874062,47899276,334313503,12929802,7331968,29857498,286391
"CBEE3","305","2015","Utilidade pública",7818528,2265388,1906229,2513420,310808,5177380,3491039,-34667,-35234,495304,5e-05
"CBEE3","305","2016","Utilidade pública",8104030,1733407,2147850,2269847,669294,4466988,4216709,-316203,-221832,507139,2e-05
"CBEE3","305","2017","Utilidade pública",9330722,2156080,2685422,3356968,510816,5338280,4299157,-148074,-102977,626442,2e-05
"ANIM3","2324","2015","Consumo cíclico",1175777,394124,238064,642118,-35768,856620,1139776,58469,64203,364004,0.23466
"ANIM3","2324","2016","Consumo cíclico",1387852,434042,268289,635692,122084,960434,1090775,19318,20845,348851,0.05842
"ANIM3","2324","2017","Consumo cíclico",1338152,410012,221467,696441,157251,1045674,2257111,48319,85152,399133,0.05444
"ARZZ3","2234","2015","Consumo cíclico",853948,658203,190772,617905,91247,1120557,1863435,164557,119663,475899,0.05806
"ARZZ3","2234","2016","Consumo cíclico",907148,706229,201830,669699,101709,1239110,2226230,157000,116149,549291,0.06101
"ARZZ3","2234","2017","Consumo cíclico",1049899,855237,356825,664960,173887,1360474,4908833,182933,154470,623768,0.1645
"AZEV4","1197","2015","Bens industriais",166971,112022,58945,45123,-4622,288380,37107,2355,1245,29333,9e-05
"AZEV4","1197","2016","Bens industriais",159365,91718,83192,5867,-20674,122302,27540,-60818,-39763,-37024,0.00039
"AZEV4","1197","2017","Bens industriais",133417,60874,99346,-78339,-5028,63770,28620,-92052,-84226,-54857,0.00036
"BTOW3","2099","2015","Consumo cíclico",9948401,5257690,3262136,2706042,-257180,9013779,3918959,-406192,-418384,1787504,0.18502
